ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202021,FI1E00300L,SCUOLA PRIMARIA,5,1,10,17
202021,FG1E016002,SCUOLA PRIMARIA,2,1,7,4
202021,SATNV3500O,SCUOLA SECONDARIA II GRADO,3,1,1,3
202021,MB1E09200Q,SCUOLA PRIMARIA,3,1,10,7
202021,MS1EO3500D,SCUOLA PRIMARIA,2,1,3,4
202021,VRPS005004,SCUOLA SECONDARIA II GRADO,4,1,20,5
202021,AGPSFG5009,SCUOLA SECONDARIA II GRADO,3,1,1,2
202021,FIPC04500R,SCUOLA SECONDARIA II GRADO,4,1,3,4
202021,MNPC015004,SCUOLA SECONDARIA II GRADO,2,1,1,3
202021,UD1E008003,SCUOLA PRIMARIA,2,1,8,17
202021,TV1E014002,SCUOLA PRIMARIA,3,1,6,1
202021,BO1E020008,SCUOLA PRIMARIA,5,2,25,16
202021,BG1M010001,SCUOLA SECONDARIA I GRADO,2,5,89,48
202021,VEPS00500C,SCUOLA SECONDARIA II GRADO,3,2,18,4
202021,MI1M06100C,SCUOLA SECONDARIA I GRADO,3,3,26,47
202021,FG1E024001,SCUOLA PRIMARIA,1,1,4,6
202021,AV1E00500N,SCUOLA PRIMARIA,1,1,11,3
202021,RC1M00400N,SCUOLA SECONDARIA I GRADO,3,1,9,16
202021,UD1EM3500M,SCUOLA PRIMARIA,1,1,16,8
202021,BS1M00200E,SCUOLA SECONDARIA I GRADO,3,2,18,21
202021,TO1E07500P,SCUOLA PRIMARIA,3,2,19,13
202021,FIPS00500D,SCUOLA SECONDARIA II GRADO,1,1,6,2
202021,MIPM1R500Q,SCUOLA SECONDARIA II GRADO,5,1,3,11
202021,BS1E017003,SCUOLA PRIMARIA,3,3,31,28
202021,VRPS025009,SCUOLA SECONDARIA II GRADO,3,2,32,21
202021,PA1E01800B,SCUOLA PRIMARIA,5,1,15,10
202021,CE1E03200V,SCUOLA PRIMARIA,5,1,11,12
202021,SATD09500B,SCUOLA SECONDARIA II GRADO,2,1,0,2
202021,NAPSP25001,SCUOLA SECONDARIA II GRADO,5,2,44,26
202021,GEPL01500Q,SCUOLA SECONDARIA II GRADO,1,8,24,122
202021,MI1E03000G,SCUOLA PRIMARIA,5,2,22,17
202021,FI1MIM500Z,SCUOLA SECONDARIA I GRADO,2,2,17,34
202021,VEPS015003,SCUOLA SECONDARIA II GRADO,3,2,11,3
202021,FI1E034008,SCUOLA PRIMARIA,2,1,11,13
